,dataset,adaboost,ann,decision tree,knn,linearSVM,logistic regression,random forrest
0,50words,0.0879120879121,0.0703296703297,0.0395604395604,0.0901098901099,0.118681318681,0.0879120879121,0.105494505495
1,Adiac,0.0613810741688,0.145780051151,0.0895140664962,0.122762148338,0.171355498721,0.145780051151,0.0946291560102
2,ArrowHead,0.325714285714,0.32,0.297142857143,0.297142857143,0.308571428571,0.314285714286,0.245714285714
3,Beef,0.2,0.233333333333,0.3,0.233333333333,0.166666666667,0.3,0.233333333333
4,BeetleFly,0.6,0.55,0.55,0.65,0.4,0.65,0.65
5,BirdChicken,0.5,0.6,0.5,0.55,0.45,0.5,0.45
6,Car,0.283333333333,0.333333333333,0.25,0.333333333333,0.35,0.383333333333,0.433333333333
7,CBF,0.325555555556,0.294444444444,0.32,0.295555555556,0.296666666667,0.315555555556,0.315555555556
8,ChlorineConcentration,0.457552083333,0.462239583333,0.408072916667,0.420572916667,0.5296875,0.517447916667,0.438541666667
9,CinC_ECG_torso,0.286956521739,0.359420289855,0.290579710145,0.336231884058,0.344202898551,0.366666666667,0.315942028986
10,Coffee,0.642857142857,0.821428571429,0.535714285714,0.642857142857,0.821428571429,0.75,0.642857142857
11,Computers,0.652,0.648,0.576,0.62,0.676,0.656,0.652
12,Cricket_X,0.0974358974359,0.148717948718,0.0974358974359,0.164102564103,0.189743589744,0.158974358974,0.102564102564
13,Cricket_Y,0.176923076923,0.251282051282,0.135897435897,0.269230769231,0.312820512821,0.271794871795,0.210256410256
14,Cricket_Z,0.102564102564,0.107692307692,0.107692307692,0.0948717948718,0.115384615385,0.117948717949,0.130769230769
15,DiatomSizeReduction,0.303921568627,0.303921568627,0.326797385621,0.366013071895,0.290849673203,0.303921568627,0.313725490196
16,DistalPhalanxOutlineAgeGroup,0.58,0.665,0.55,0.6925,0.7775,0.71,0.6375
17,DistalPhalanxOutlineCorrect,0.563333333333,0.5,0.496666666667,0.503333333333,0.603333333333,0.546666666667,0.511666666667
18,DistalPhalanxTW,0.2925,0.305,0.24,0.265,0.41,0.265,0.2775
19,Earthquakes,0.695652173913,0.723602484472,0.649068322981,0.782608695652,0.819875776398,0.770186335404,0.773291925466
20,ECG200,0.51,0.59,0.56,0.68,0.63,0.59,0.56
21,ECG5000,0.475111111111,0.592666666667,0.438444444444,0.546888888889,0.571333333333,0.738888888889,0.572
